index,run,prompt
4,run_004,羽毛球运动员在场地中央，跳起扣杀，羽毛球快速飞向对手的场地，聚焦在扣杀的瞬间。
9,run_009,滑雪者在雪山坡道上高速滑行，聚焦滑雪板与雪面的接触，展示滑雪的流畅与速度感。
14,run_014,展示厨师拉伸新鲜制作的意大利面条，随后将面条投入沸水中煮沸，慢镜头捕捉泡沫。接着是意面与番茄酱拌匀的过程，最后是撒上帕玛森芝士的画面。最终定格在热气腾腾的意大利面成品。
19,run_019,展示厨师在烤箱中烤制新鲜的海鲈鱼，鱼皮逐渐变得酥脆。接着是特写淋上橄榄油和撒上迷迭香的画面，最后定格在一盘鱼与烤蔬菜的组合上，背景柔和自然。
24,run_024,从海平面缓缓推向远处，广阔的蓝色海洋在阳光下闪烁着粼粼波光。远方，海天相接处，白帆点点，海风轻拂，海浪轻轻拍打着海岸的礁石，海鸥在低空盘旋，天空一片湛蓝，仿佛与海洋融为一体。
29,run_029,从远处缓慢推近，金门大桥红色的雄伟桥身在晨雾或夕阳下格外显眼。桥下的海水缓缓流动，偶尔有帆船经过，镜头平稳地从桥底滑过，展现其宏伟的结构，直至镜头缓慢拉远，将桥梁与海湾景观尽收眼底。
34,run_034,天安门城楼下一队护卫队员在升旗。
39,run_039,在非洲的草原上，一只大象缓慢地走着，用长长的鼻子卷起一束草丛。它迈步走到一处小水坑，用鼻子喷洒水花，洒落在它的背上。
44,run_044,在冰雪覆盖的南极，一群企鹅排成一列在冰面上滑行。一只企鹅跳入冰冷的水中，快速游动，划过冰下清澈的海水。
49,run_049,一个孩子穿着南瓜造型的万圣节服装，在夜晚手提南瓜灯走过街道。他敲开一户人家的门，主人微笑着递给他糖果，他高兴地接过，放进小南瓜篮子里。
54,run_054,在大街上，一群小学生挥舞着小国旗，齐声唱着爱国歌曲。一个孩子举起国旗，面向镜头笑得灿烂，其他孩子围绕在旁边一起欢呼。
59,run_059,一个现代化的研究实验室设置在茂密的森林中，窗外是自然景观。实验人员使用高科技设备分析自然资源，实验室里的屏幕显示着森林数据的实时变化，展现自然与科技的共生。
64,run_064,一位旅行者在咖啡馆里工作，桌上摆放着笔记本电脑，背景是世界各地的标志性建筑物，窗外的风景不断变化。这个场景展现了旅行与远程工作的无缝融合。
69,run_069,自动化农业机器在农田中播种和收割，无人机在空中监控作物的生长情况。
74,run_074,一个全是镜面结构的星球，所有的地形、建筑、甚至天空都由光滑的镜面组成，反射着无尽的空间。主角在这片迷宫中迷失，映像与现实难以区分，虚实交错让他们的心智受到挑战。
79,run_079,纳美人骑上了翼兽，腾空而起，镜头随着他飞行，掠过发光的森林、悬浮的山峰和瀑布，巨大的星球悬挂在天边。
84,run_084,教师在教室中温和地向学生解释问题，学生们点头回应，有的在笔记本上写下关键点，教室气氛轻松而专注。
89,run_089,军人在训练场上，专注进行体能训练，汗水滑落，偶尔与战友互动，相互鼓励，眼神坚定，动作沉稳有力。
94,run_094,擎天柱缓慢地变形，从卡车形态转换为机器人。转换完成后，他拔出能量斧，做出挥斧动作，表情坚定，眼睛发出蓝色光芒，最后以双手抱胸的姿势站立，展示领袖风范。
99,run_099,阿宝拿着他的功夫棒，试图做出高难度的功夫动作。几次失败后，他笨拙地摔倒在地，揉了揉头，随后站起来大笑，做出一个搞笑的武术姿势，展现他的幽默和乐观。
104,run_104,尼莫在海底的植物中游动，钻进了一个大大的海葵。
109,run_109,镜头从画廊的入口处缓慢推向墙上的一幅画，随着画面逐渐靠近，画的细节和质感开始显现。观众逐渐被吸引到画的世界中，仿佛走进了作品本身。（场景：画廊中的一幅画）
114,run_114,镜头对焦在前景中正在交谈的两个人，背景中的窗外风景也同样清晰可见。观众不仅能专注于对话，还能注意到窗外行人和路过的车辆，形成丰富的画面层次。（场景：咖啡馆里的对话）
119,run_119,空旷的沙漠中，一个人正在无重力地漂浮，沙漠中的时钟融化着滴落，天空中漂浮着巨大的眼睛和漂浮的楼梯。行人飘浮而过，时间和空间交错，带来梦幻般的体验。
124,run_124,街道两旁的墙上布满了涂鸦和壁画，行人走过时，涂鸦中的图案仿佛在他们背后活了过来。镜头跟随他们的步伐，墙上的艺术作品不断变化，呈现出一种街头与艺术交融的动态画面。
