index,run,prompt
1,run_001,篮球运动员运球过人，跳起投篮，篮球飞入篮筐，运动员庆祝进球。画面只专注于这一个投篮动作。
6,run_006,健身爱好者在健身房举哑铃，展示力量训练的一个简单动作，聚焦于哑铃起落的过程。
11,run_011,一个运动员助跑起跳，落到沙坑里。
16,run_016,展示厨师翻动锅中的咖喱，黄油鸡块在浓郁酱汁中沸腾。特写印度烤饼（Naan）放入炭炉烘烤的过程，最后将咖喱和烤饼放在盘中，撒上香菜。慢镜头展示热腾腾的咖喱香味四溢。
21,run_021,展示厨师在烤架上翻动汉堡肉饼，慢镜头捕捉芝士在肉饼上慢慢融化的瞬间。随后展示将番茄、生菜和酱料加入汉堡中，最后定格在堆满薯条和汉堡的餐盘上。
26,run_026,镜头从远处逐渐推近到一座巨大的瀑布，水流从悬崖顶端倾泻而下，形成雾气缭绕的白色水幕。瀑布下方的水潭宁静而清澈，水流缓缓向前汇入一条小河，四周绿树环绕，整个画面充满自然的力量与宁静。
31,run_031,从地面仰视，镜头慢慢上升，上海环球金融中心的玻璃外墙在阳光下闪闪发光，随着镜头逐渐升高，周围的高楼和城市景观尽收眼底，最后镜头俯瞰整个上海天际线，展现现代都市的恢弘与繁华。
36,run_036,在一片绿色的公园里，一只狗欢快地奔跑着，追逐着一只飞碟。它快速跳起，咬住飞碟，兴奋地跑回来，尾巴开心地摇摆着。
41,run_041,在一片茂密的丛林中，一条蛇安静地在地面上蜿蜒前进。它缓缓靠近一棵树，轻巧地盘绕在树枝上，观察着周围的动静。
46,run_046,一只小猫在家中拨弄小球玩，追着小球到处跑。
51,run_051,一家三口在月光下的庭院中坐着，母亲切开月饼递给孩子。孩子拿起一块月饼，仰头看着明亮的圆月，笑着咬下一口。
56,run_056,一家人围坐在餐桌前，桌上摆满丰富的美食。家长带领大家一起祈祷，之后互相微笑点头，一同享用餐食。
61,run_061,一个时装秀舞台，模特身着可持续材料制成的衣物在T台上行走。背景是自然风光，随着镜头移动，衣物的材质和设计灵感与大自然的元素互相呼应，体现时尚与环保的紧密联系。
66,run_066,电影院里观众戴着VR头盔，随着屏幕中的电影情节发展，他们的座椅也同步运动。观众不仅在观看，还在与场景互动，沉浸式电影体验与现实环境融为一体。
71,run_071,无尽的沙漠中，地面像镜子一样清晰地倒映着星空，仿佛天地逆转。每当主角走过时，脚下的星星会如水纹般散开，营造出一种梦幻的效果。
76,run_076,钢铁侠从地面快速升空，燃烧的推进器在他身后喷射出强烈的蓝色火焰。镜头紧随他穿越云层，直冲高空，远处的地平线慢慢拉开，城市的灯光逐渐变得渺小。
81,run_081,在明亮办公室内，一名工作者专注地在电脑前敲打键盘，偶尔抬头思考，轻轻皱眉，旁边的同事在小声交谈。
86,run_086,科学家在实验室中调整仪器，凝视数据屏幕，偶尔和旁边的同事讨论，轻轻点头表示认可，整个过程严谨而专注。
91,run_091,运动员在体育馆内训练，专注于力量训练和速度跑步，汗水浸透衣服，教练在一旁鼓励，眼中充满奋斗的决心。
96,run_096,瓦力蹲在地上捡起一块垃圾，仔细观察后把它放进体内。接着他眨了眨大眼睛，做出有点害羞的表情，然后快速展开轮子，滑动起来，开心地挥舞着手臂。
101,run_101,希德手里拿着一个坚果，做出非常滑稽的动作来摆弄它，结果不小心把坚果掉到地上。希德耸耸肩，随后做出一个搞怪的表情，抬起手继续向前走，边走边跳舞。
106,run_106,一个孩子接球的瞬间被放慢，足球飞向空中，阳光穿过树叶，捕捉到球的每一个旋转和孩子脸上的兴奋表情。镜头慢慢追踪足球和孩子的动作，强化了那一刻的紧张感。（场景：公园里踢足球）
111,run_111,人物跳入泳池的瞬间，水花四溅，突然定格在空中。观众可以仔细欣赏每滴水珠和人物的姿势，定格画面让这一刻永恒。（场景：人物跳入水中的瞬间）
116,run_116,一辆经典的50年代轿车行驶在老式小镇街道上，夕阳照耀，橘黄色的光洒在复古的霓虹灯招牌和砖瓦建筑上，街边行人穿着复古服饰，背景有微微闪烁的霓虹灯。
121,run_121,工业化城市的一角，工人们在精确的格子结构中操作机械，整个场景被几何形状的建筑和桥梁分割。人物的动作简洁有力，伴随着机器的节奏感，场景呈现出工业与几何的完美结合。
126,run_126,一片色彩斑斓的森林中，鸟儿和动物以不合常理的亮丽色彩在奔跑和飞翔，树叶与天空的颜色对比强烈。一个人穿过森林，背景中的色彩不断增强，形成了大胆、粗放的视觉冲击。
