index,run,prompt
0,run_000,一名足球运动员在球场上带球奔跑，快速传球，然后射门得分。镜头聚焦于运动员的脚下动作和射门瞬间。
5,run_005,乒乓球选手专注挥拍，打出一个快速旋转的乒乓球，球在桌上弹跳并越过球网。
10,run_010,冲浪者在大海中驾驭一波浪花，稳稳站在冲浪板上，镜头聚焦冲浪者与海浪的互动。
15,run_015,展现寿司师傅切割新鲜三文鱼片的精准手法，之后将鱼片放在醋饭上轻压成型。慢镜头展示手握寿司的过程，最后将寿司排列整齐在木制餐盘上，旁边摆放一碟酱油和几块腌姜。
20,run_020,展示厨师将鹰嘴豆泥舀入盘中，慢镜头展示撒入橄榄油和撒上烟熏辣椒粉的过程。接着展示烤肉串在炭火上翻烤的细节，最后定格在摆满各种中东小食的餐桌上。
25,run_025,镜头穿过茂密的森林树冠，阳光透过高大的树木缝隙洒在地面上，绿叶随着微风轻轻摇曳。地面上覆盖着厚厚的苔藓和落叶，偶尔一只松鼠迅速从一棵树跳到另一棵，整个画面充满了森林的静谧与生命的气息。
30,run_030,镜头从维多利亚港的水面缓慢上升，远处的高楼大厦和山脉依次展现。渡轮慢慢驶过，水面波光粼粼，远处的天际线清晰可见，九龙与香港岛的对比在镜头中自然显现，整个画面流畅而富有层次感。
35,run_035,一只狮子在广袤的草原上缓慢前行，阳光洒在它的鬃毛上。它停下脚步，盯着前方的猎物，随后突然跃起，飞奔向猎物。
40,run_040,在深蓝的海底，一只鲨鱼优雅地游动，身体在水中轻轻摆动。它突然加速，朝着一群鱼群冲过去，鱼群四散逃开。
45,run_045,在开阔的草原上，一只猎豹突然爆发出惊人的速度，迅速追逐前方的猎物。它身体紧贴地面，流线型的身影在阳光下闪动。
50,run_050,一家人围坐在餐桌前，父亲将烤火鸡放在餐桌中央，大家举起饮料相互碰杯致谢。然后，孩子们争先恐后地拿起盘子，开心地夹取火鸡肉。
55,run_055,一个小女孩在草地上搜寻彩蛋，她蹲下来发现一个彩蛋，开心地捡起并放进篮子里。然后，她笑着继续寻找，镜头跟随她的动作。
60,run_060,画家在一张巨大的画布上作画，颜料仿佛在空中漂浮。镜头逐渐转向画作的细节，这些细节与显微镜下的细胞结构惊人地相似，展现艺术与科学的交融。
65,run_065,一位作家在书房里写作，他的想象化作游戏角色的冒险情境。文字渐渐变成三维世界，书中的故事与互动游戏场景逐步重叠，形成文学与游戏的交汇。
70,run_070,天空中漂浮着破碎的城市废墟，建筑在失重的状态下缓慢旋转，植物从裂缝中生长出来，而城市的居民生活在这些漂浮的碎片上，仿佛重力已不再存在。
75,run_075,蜘蛛侠在纽约市高楼间灵活穿梭，镜头紧跟着他的一举一动。蛛丝不断射出，附着在摩天大楼上，他轻盈地在空中荡过。
80,run_080,擎天柱身上的机械部件重新组装，从机器人变成一辆卡车。
85,run_085,医生在诊室里认真查看患者的病历，偶尔对患者微笑表示安慰，轻轻点头，耐心地解释治疗方案，患者安心聆听。
90,run_090,警察在街头巡逻，眼神警惕，偶尔微笑向路人点头示意，保持警觉与友善的互动，展示社区守护者的职责感。
95,run_095,辛巴在草地上缓慢走动，脸上露出自信而坚毅的神情。随后他仰头向天空发出一声吼叫，镜头特写他的脸庞，展现他作为狮王的威严。
100,run_100,闪电麦昆在赛道上快速驶过，轮胎与地面摩擦发出刺耳的声音。镜头特写他的表情，充满自信与兴奋。然后他快速急刹，漂移转弯，喷出一股沙尘，最终得意地微笑。
105,run_105,一个平静的早晨，镜头从街道的一端缓慢地移动，捕捉行人、车辆的自然运动。行人穿过街道，咖啡店外有人交谈，所有细节都在同一个连续镜头中，毫无剪辑痕迹，观众仿佛亲历其中。（场景：城市街道）
110,run_110,镜头从远处的草地上开始，逐渐向远山变焦。随着变焦的推进，山的轮廓变得越来越清晰，仿佛观众自己在向山靠近，创造一种逐渐揭示的视觉张力。（场景：郊外的一座远山）
115,run_115,树叶挡住大部分画面，可以隐隐约约地看见一个女孩在花园里赏花。
120,run_120,黄昏时分，天空燃烧着橙红色的云朵，路人在昏暗的街道上快速行走，神情凝重。建筑物和树木的轮廓被夸张拉长，整个场景充满情绪化的张力，暗示着不安和焦虑的氛围。
125,run_125,一个空旷的白色房间中，只有一个人缓缓走动，周围一切都极为简洁，没有多余的装饰。每一步都在回响，镜头专注于简单的线条和干净的背景，极简的动作与场景完美契合。
