season,week,celebrity_name,ballroom_partner,J_tilde,J_pct,V_tilde_hat,V_hat,S_hat,is_eliminated_this_week,system,judge_save_mode
1,1,John O'Hurley,Charlotte Jorgensen,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.18879299458137325,0,rank,False
1,1,Kelly Monaco,Alec Mazo,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.10577942156923474,0,rank,False
1,1,Evander Holyfield,Edyta Sliwinska,0.1651376146788991,0.1651376146788991,0.1651376146788991,0.1651376146788991,0.16392079734332274,0,rank,False
1,1,Rachel Hunter,Jonathan Roberts,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.18879299458137325,0,rank,False
1,1,Joey McIntyre,Ashly DelGrosso,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.18879299458137325,0,rank,False
1,1,Trista Sutter,Louis van Amstel,0.1651376146788991,0.1651376146788991,0.1651376146788991,0.1651376146788991,0.16392079734332274,0,rank,False
1,2,John O'Hurley,Charlotte Jorgensen,0.21487603305785125,0.21487603305785125,0.1601449543782657,0.1601449543782657,0.18648281396121902,0,rank,False
1,2,Kelly Monaco,Alec Mazo,0.14049586776859505,0.14049586776859505,0.22510550140732574,0.22510550140732574,0.17514386386437658,0,rank,False
1,2,Evander Holyfield,Edyta Sliwinska,0.11570247933884298,0.11570247933884298,0.2491715522935512,0.2491715522935512,0.17255614275207082,0,rank,False
1,2,Rachel Hunter,Jonathan Roberts,0.19834710743801653,0.19834710743801653,0.17213852058494297,0.17213852058494297,0.18316459758907072,0,rank,False
1,2,Joey McIntyre,Ashly DelGrosso,0.17355371900826447,0.17355371900826447,0.19343943147638634,0.19343943147638634,0.17914127809862535,0,rank,False
1,2,Trista Sutter,Louis van Amstel,0.15702479338842976,0.15702479338842976,3.9859528232729386e-08,3.9859528232729386e-08,0.1035113037346375,1,rank,False
1,3,John O'Hurley,Charlotte Jorgensen,0.22641509433962265,0.22641509433962265,0.24220936485168051,0.24220936485168051,0.2289113873146015,0,rank,False
1,3,Kelly Monaco,Alec Mazo,0.19811320754716982,0.19811320754716982,0.27223641964100187,0.27223641964100187,0.22775716744938596,0,rank,False
1,3,Evander Holyfield,Edyta Sliwinska,0.12264150943396226,0.12264150943396226,1.3409752957096395e-05,1.3409752957096395e-05,0.08517230597054362,1,rank,False
