index,run,prompt
2,run_002,"Time-lapse of goats grazing in a shrubland: starting with undisturbed vegetation, goats entering and spreading out to graze, increasing in number, leading to noticeable thinning of vegetation, and ending with heavily grazed landscape."
7,run_007,"Time-lapse of an egg dish with cheese being baked in a ramekin. It begins with raw ingredients, and over time, the egg white becomes opaque and solidifies, while the yolk gradually firms up. By the end, the egg white is fully cooked, and the yolk shows a partially solidified center."
12,run_012,"Time-lapse of a high-rise building and a public art installation being constructed. Initially, the building framework and steel structure emerge, followed by floors and additional details taking shape. Progressing further, the art installation becomes intricate and complex. The video concludes with the high-rise reaching advanced stages and the steel structure completed, with most construction equipment removed."
17,run_017,"Time-lapse of a blue morpho butterfly emerging from its chrysalis, starting with an intact chrysalis, progressively splitting open, revealing the butterfly, which gradually emerges with its wings and body becoming visible, until almost entirely free from the chrysalis by the end."
22,run_022,"Time-lapse of a sunset showing the sun descending below the horizon. The sky transitions from bright sunlight to twilight, exhibiting a range of colors from vibrant reds and oranges to softer, warm tones, ultimately fading as twilight emerges."
27,run_027,"Time-lapse of metallic objects undergoing significant corrosion: starting clean, early signs of dark spots appear, followed by spreading rust and increased oxidation, leading to severe degradation and discoloration by the end."
32,run_032,"Time-lapse of an orange decomposing over 86 days: starting fresh, showing minimal changes by Day 11, darkening and pooling liquid by Day 22, significant mold by Day 33, extensive mold by Day 44, heavily decomposed with thick mold by Day 55, almost fully covered in mold and shrunken by Day 66, and fully decomposed with significant mold and liquid by Day 86."
37,run_037,"Time-lapse of a desert landscape where the sun moves from early morning to late morning. The rock formations and landscape become progressively brighter as shadows shorten and eventually almost disappear, demonstrating the sun's path across the sky."
42,run_042,"Time-lapse of a fireworks display over a city at night: initial bursts on the right side, dissipating to a clear sky, followed by faint bursts, and subsequent clear skies. New bursts then appear on the left, with later explosions in the top right. The display alternates between bursts and clear skies."
47,run_047,"Time-lapse of a nighttime camping scene in a forest: starts with a glowing tent and active campfire under a partially cloudy, starry sky, shows the campfire illuminating the surroundings, smoke drifting upwards, and clouds moving slightly. The brightness intensifies before gradually diminishing, leading to a darkened campsite with overcast skies by the end."
52,run_052,"Time-lapse of a glass object breaking: starting with an intact vertical glass, followed by an external force initiating the shattering, fragments flying and dispersing progressively, until the pieces settle with minimal motion."
57,run_057,"Time-lapse of a bird hatching from an egg: starting with a small crack, the crack gradually widens with continued effort, developing into a larger opening. The progress continues until the chick is almost fully emerged, culminating in the chick successfully hatching and lying next to the broken shell."
