index,run,prompt
1,run_001,"Time-lapse of a 3D printing process creating a model of the Statue of Liberty: starting with an empty build plate, progressing through base formation and vertical structure building, gradually adding details, and finally revealing a complete, defined model of the statue."
6,run_006,"Time-lapse of a marbled cake baking process: starting with freshly poured batter in pans, signs of rising by initial heat exposure, uniform rising and solidifying midway, significant structured marbling and defined surface formation, and finally a fully baked, solid cake ready to be removed from the oven."
11,run_011,"Time-lapse of a passionflower blooming: Starting from a tightly closed bud, it gradually swells and begins to open. The outer petals peel back as the inner petals and central structures unfold. The flower fully opens, displaying intricate stamen and vibrant purple filaments, reaching peak bloom by the video’s end."
16,run_016,"Time-lapse of a monarch butterfly emerging from its chrysalis: starting with the chrysalis, progressing to partial emergence, full eclosion with wings unfolding, inflating its wings, and finally leaving the chrysalis behind, ready for flight."
21,run_021,"Time-lapse of a busy city intersection at night, showing fluctuating traffic and pedestrian flow. Traffic pauses and resumes, captured by the light trails of moving vehicles. Intermittent pauses and peak activity periods are noticeable, highlighted by varying intensity of light trails and pedestrian movement."
26,run_026,"Time-lapse of a metal plate corroding over time: starts clean, early rust spots appear, rust spreads and becomes more pronounced, continues advancing with dense rust spots, and finally, the majority of the plate surface is extensively covered in rust."
31,run_031,"Time-lapse of a city transitioning from dusk to nighttime: starting with an orange hue from the setting sun, gradually darkening sky with increasing city lights, and finally a fully lit nighttime cityscape with vibrant artificial lighting outlining buildings and streets."
36,run_036,"Time-lapse of daylight progression over a desert landscape with Saguaro cacti, starting at dawn with minimal light, gradually increasing brightness as the sun rises, fully illuminating the hill and cacti by mid-morning."
41,run_041,"Time-lapse of large industrial machinery being assembled in a factory: starting with unassembled parts, workers begin the assembly, progressively adding and adjusting components with the help of forklifts. Gradual progress is seen with nearly complete machinery at mid-point. Towards the end, the machinery is fully assembled, repositioned, and moved for final checks."
46,run_046,"Time-lapse of a misty mountain range, beginning with thick mist obscuring much of the view. Gradually, the mist dissipates, revealing more of the mountain peaks and the vegetative forest foreground. By the end, the mist is almost entirely gone, providing a clear view of the mountain range and the forest."
51,run_051,Time-lapse of gasification over 76 days: Starts with a full glass of orange liquid on Day 1; slight reduction by Day 20; moderate reduction by Day 30; further decrease by Day 40; considerable decrease by Day 50; significant reduction by Day 60; minimal liquid remains by Day 76; ends with an almost empty glass with residue.
56,run_056,"Time-lapse of a chick hatching from an egg: starting with a small crack, progressively breaking the shell, and eventually emerging completely and resting beside the broken eggshell."
61,run_061,"Time-lapse of red ink diffusing in a clear glass of water: starting from a dropper release, the ink spreads intricately, forming complex patterns as it gradually disperses and blends throughout the water, ultimately creating a widespread and dilute pattern."
66,run_066,"Time-lapse of a deciduous tree transitioning from late summer to winter: initially green, turning red and orange through autumn stages, losing leaves progressively until entirely bare by the end, indicating the arrival of winter."
71,run_071,"Time-lapse of a bustling indoor market over time, showcasing constant activity with people browsing clothing racks and moving through the area. The market remains consistently crowded, though the density and specific crowd positions vary slightly as time progresses."
