index,run,prompt
4,run_004,"Time-lapse of an aurora borealis over a nighttime residential area, starting as a faint green glow. The aurora intensifies, displaying vibrant green and reddish hues with dynamic swirling patterns. Eventually, the aurora slightly diminishes but maintains its presence with subtle hues."
9,run_009,"Time-lapse of a boat drifting away from the shore: starting stationary near a red flag and pole, moving slightly by mid-sequence, and gradually retreating into deeper water by the end."
14,run_014,"Time-lapse of a controlled fire in a trench managed by two individuals: starting with no fire visible, progressing through ignition, peak flames, and gradual reduction, until the fire is largely under control with minimal flames and more embers visible at the end."
19,run_019,"Time-lapse of a red candle burning down to a near-complete melt: starting intact with a steady flame, progressively shortening, forming and enlarging a pool of molten wax, until the candle is almost entirely melted with a broad wax pool surrounding the holder."
24,run_024,"Time-lapse of popcorn kernels popping: starting with unpopped yellow kernels on a heated surface, progressing through early stages of popping, partial popping, and finally, the frame filled with almost entirely popped, fluffy white popcorn."
29,run_029,"Time-lapse of the transition from daylight to evening over a serene lake with a forested shore. The video captures the sun's journey from high in the sky to just below the horizon, casting longer shadows and producing a golden hue before the sky darkens, creating a distinct evening ambiance."
34,run_034,"Time-lapse of the nighttime demolition of a bridge over a highway, followed by the daytime cleanup process. Multiple excavators dismantle the bridge, progressing from initial setup to significant deconstruction, and finally, debris removal. The video ends with the highway almost cleared and minimal equipment remaining."
39,run_039,"Time-lapse of a massive explosion impact on a planetary surface: beginning with a bright burst, progressing to an expanding, glowing impact region with rising debris. A shockwave disperses debris, forming a prominent crater surrounded by molten, bright areas. The crater measures 840 km and gradually cools, with the impact zone darkening, marking the end of major explosive events."
44,run_044,"Time-lapse of a pink rose withering: initially vibrant and upright, it gradually droops and fades. The wilting progresses noticeably over time, with the uppermost rose losing structure and color, eventually showing significant decay by the end of the video."
49,run_049,"Time-lapse of bananas decaying over 74 days: starting fresh, showing spots by Day 6, becoming mostly brown by Day 19, blackened with mold by Day 30, significantly decomposed with extensive mold and shriveling by Day 53, and severely decomposed with severe mold and desiccation by Day 74."
54,run_054,"Time-lapse showing the gradual dissipation of fog over a grassy hillside landscape, transitioning from thick fog cover to a clearer view of the valley and foliage. The sequence captures the natural movement of fog, revealing the details of the terrain and the autumn leaves scattered in the foreground as visibility improves."
59,run_059,"Time-lapse of ice cubes melting on a wooden surface: starting as solid cubes, beginning to melt with water pooling around by the middle frames, progressing to significantly reduced ice and larger pools of water, and ending with fully melted ice leaving a clear pool of water."
64,run_064,"Time-lapse of laser engraving on a wooden board, starting with initial cuts, progressing to detailed outlines. One robot's head and body appear first, followed by the second robot. Gradually, details and distinct lines are added until both robot figures are nearly complete. The video concludes with the final, fully engraved robot figures on the board."
69,run_069,"Time-lapse of a lunar eclipse showing the progression from a fully visible Moon, through partial and total eclipses, and back to full visibility, capturing each phase including penumbral and totality stages."
74,run_074,"Time-lapse of snow melting in a residential backyard: starting with complete snow cover, patches of grass appearing as melting progresses, mostly clear by mid-video with only sparse snow remnants, and ending with a fully exposed grassy yard transitioning to nighttime with visible artificial lights."
79,run_079,"Time-lapse of snow-covered mountain peaks interacting with cloud cover: starting with thick clouds above, cloud cover increases and obscures the peaks, then gradually recedes, revealing the mountains again."
84,run_084,"Time-lapse of the night sky over a mountainous landscape transitioning from a bright post-sunset horizon to a dark, star-filled night. Initially, scattered clouds and a colorful horizon are visible, gradually giving way to a darker sky with more stars and shifting clouds. The horizon light dims progressively, almost fading entirely by the video's end."
