index,run,prompt
0,run_000,"Time-lapse of a 3D printing process creating a character model, starting from initial setup, progressing through the formation of base and vertical structures, increasing height with added layers and color contrasts, and developing intricate design elements. The final stages show clear character features, detailed facial outlines, and textures, with the model nearing completion."
5,run_005,"Time-lapse of aurora borealis over a night sky: starting with green arcs, intensifying with pronounced streaks, and evolving into swirling patterns. The aurora peaks in vivid hues before gradually fading into a homogeneous glow on a steadily brightened horizon, under a crescent moon."
10,run_010,"Time-lapse of a white hibiscus blooming: starting as a tightly closed bud with an adjacent wilting flower, gradually opening its petals, and showing stamen and vibrant colors as it reaches full bloom, with the second flower continuing to wilt. The main flower exhibits beginning signs of petal wilting by the end of the video."
15,run_015,"Time-lapse of a forest fire progression and burnout: starting with slight smoke, increasing fire intensity with flames and dense smoke, spreading actively, then subsiding flames and ongoing smoke, and finally the aftermath with ash-covered forest floor and no visible flames or smoke."
20,run_020,"Time-lapse of a nighttime city intersection showing varying traffic flow and pedestrian activity. The video captures light trails from moving vehicles, changes in traffic light signals, decorative building lights, and pedestrians crossing. The building and lights become more prominent as traffic fluctuates, illustrating a dynamic urban scene at night."
25,run_025,"Time-lapse of shrimp being grilled, starting from raw with hands seasoning, gradually turning pink, and developing a charred appearance. The shrimp are turned and adjusted throughout the cooking process, showing progressively more pink and charring, culminating in fully cooked, pink, and charred shrimp ready to be served."
30,run_030,"Time-lapse of the sky transitioning from day to night: starting with a bright sky and scattered clouds, progressing through sunset with increasing clouds and orange-pink hues, into early dusk and finally to a nearly pitch-black sky, indicating full nightfall."
35,run_035,"Time-lapse of a large commercial building being demolished and the site prepared for new construction: starting intact with vehicles around, partial demolition with debris, extensive removal of the building, rubble clearance, leveling of the ground, and structured groundwork indicating readiness for potential new construction."
40,run_040,"Time-lapse of a trade exhibition floor: starting with minimal foot traffic, gradually increasing in attendees and engagement at booths, reaching peak activity, and then slightly declining as the session winds down."
45,run_045,"Time-lapse of a yellow daffodil wilting: starting from fully bloomed with vibrant petals, showing sequential stages of reduced vibrancy and drooping, petals progressively curling inward, darkening, and ultimately ending in a significantly wilted and shriveled state."
50,run_050,"Time-lapse of liquid evaporating from a concrete surface, showing a large wet patch gradually reducing in size: starting expansive, spreading unevenly, breaking into smaller spots, and finally shrinking until the surface is nearly dry with faint traces of wetness remaining."
55,run_055,"Time-lapse of a lawn mower cutting grass in a scenic grassland, starting from the lower right, moving leftward while creating a visible path of mowed grass. The mower continues progressing through the field, reaching the middle, and finally completing its task at the far left edge with the entire area mowed."
60,run_060,"Time-lapse of red ink diffusing in a tall glass of water: starting with clear water, the ink swirls and mixes creating a pink tint that becomes more uniform, eventually turning the water back to clear, indicating complete dilution."
65,run_065,"Time-lapse of laser engraving and cleaning metal parts: starting from the initial setup with metal parts on a grid, the laser becomes active, progresses through various engraving stages on different sections, and continues with active cleaning, removing debris and making the metal surface increasingly cleaner and brighter."
70,run_070,"Time-lapse of a shopping mall's food court showing fluctuating foot traffic: starting with a moderate crowd, increasing to peak activity, then gradually declining with fewer people, ending with a close-up of several individuals passing in front of the camera."
75,run_075,"Time-lapse of snow melting on a paved surface: starting as a snow pile, breaking apart with increased water runoff, and gradually reducing to small remnants, ending with mostly water on the pavement."
80,run_080,"Time-lapse of mushrooms growing using an organic grow kit: starting with no visible growth, slight darkening and initial signs by early stages, followed by noticeable darkening, small clusters forming, larger clusters developing, and significant growth, culminating in fully grown mushrooms ready for harvesting."
85,run_085,"Time-lapse of a night sky showing the Milky Way galaxy's movement due to Earth's rotation, against a silhouetted tree. Stars gradually shift upward, and horizon light increases, indicating the approach of dawn, while the Milky Way moves near the top of the frame by the end."
90,run_090,"Time-lapse of a busy office over a workday, starting with many employees at their desks. Activity continues steadily, with gradual movement and interaction. As the day progresses, the number of employees decreases, leaving more empty desks. By the end of the day, the office is mostly empty with only a few employees remaining."
95,run_095,"Time-lapse of a parking area filling up for an event: starts with an empty lot at sunrise, more cars by morning, nearly full by midday, and completely full in the afternoon with people walking around. By the end, fewer cars remain, indicating the event is over."
100,run_100,"Time-lapse of a plant with narrow, elongated leaves, highlighting growth over 96 days. Beginning with freshly sowed soil, minor germination signs appear by Day 5. A green shoot emerges by Day 17, growing taller by Day 32. Longer, arching foliage is seen by Day 51. By Day 75, multiple elongated leaves appear, leading to a well-developed plant with broad leaves by Day 96."
105,run_105,"Time-lapse of a busy restaurant showing customer and staff activities: initially moderately busy, increasing patron movement, periodic arrivals and departures of customers, staff carrying drinks, and interactions at the counter. The restaurant remains dynamic throughout, with various patrons walking and seating visible across different frames."
110,run_110,"Time-lapse of nighttime highway traffic: beginning with low traffic and few light trails, increasing to higher traffic with prominent light trails, maintaining steady flow, and finally dimming light trails indicating reduced traffic volume or late night."
115,run_115,"Time-lapse of seasonal transition from late summer to mid-autumn: dense green foliage under bright sunlight shifts to slight yellow hints, evolving to distinct yellow and orange hues. Vehicles and streetscape changes accompany the gradual leaf color transformation, with dominant orange and yellow tones signifying deep autumn by the video's end."
120,run_120,"Time-lapse of a snowstorm over approximately 28 hours: begins with a clear driveway and no snow, progresses to heavy snowfall covering the car and surroundings, continues through night, predawn, and morning, revealing significant snow accumulation, and concludes in the evening with deep snow cover illuminated by car headlights."
125,run_125,"Time-lapse of a spider web interaction: starts with a pristine web, a butterfly or moth gets trapped, spider approaches and reacts to the prey, briefly moves out of frame, then reappears near the prey, gradually moving closer."
130,run_130,"Time-lapse of weather conditions changing from clear skies to a stormy day: starting with bright sunlight, gradual cloud build-up, darkening skies indicating an impending storm, followed by heavy cloud cover and reduced daylight during the storm, and ending with overcast skies and wet streets post-storm."
135,run_135,"Time-lapse of a sunset over a city skyline, starting from bright daylight with the sun high in the sky, progressing through sunset with changing sky colors, and ending in complete darkness with the city lights illuminating the skyline."
140,run_140,"Time-lapse of an urban road showcasing varying traffic conditions. Initially, moderate traffic progresses to heavier congestion with a cement truck and red car appearing. Traffic peaks with congestion, involving a large van and black cars, likely during rush hour. Later, it lightens again with a prominent blue bus and minimal cars, ending with light traffic and visible pedestrians."
145,run_145,"Time-lapse of a busy pedestrian street at night showing various people walking and interacting. It begins with three friends holding hands, transitions to larger groups and then fewer individuals, before showcasing a woman gesturing, continuous pedestrian movement, and ends with several groups interacting, illustrating a lively social environment."
