index,run,prompt
0,run_000,a person jumps from building
5,run_005,waves on the beach
10,run_010,a video game plane is flown
15,run_015,Handsome man showing different emotions. close up.
20,run_020,Close up pouring whiskey.glass of whiskey
25,run_025,an overhead view in a plane or helicopter looking down at landscape
30,run_030,girl in pink dress fashion model walking in ramp
35,run_035,some blue water in a pool is rippling around
40,run_040,Autumn dry yellow grass swaying in the wind
45,run_045,someone heats a pot with boiling water and melts chocolate
50,run_050,"Fire, burning hay bales near the building, firefighters work."
55,run_055,two dogs walk across a busy street
60,run_060,a car swerves out of the way of two cars crashing into each other
65,run_065,cheese melted in a sauce pan
70,run_070,several lego vehicles are working and racing down the road
75,run_075,steam comes out of coffee machine.
80,run_080,hot air balloon ascending with ropes out of the basket
85,run_085,soldier gives orders and then a soldier walks forward
90,run_090,a woman describes that she adds water to a bowl of ingredients and then mixes it
95,run_095,Cute ginger cat lapping milk from white bowl. slow motion
100,run_100,hd supper slow motion top fountain water
105,run_105,"Slow motion, underwater: looking up at the glimmering surface of the calm ocean."
110,run_110,A dog is drinking a cup of water.
115,run_115,A blue horse is running in the field.
120,run_120,A plane is flying backwards.
125,run_125,A person peels an apple and throws it into the trash.
